D,H,X,Y,Z,date
NA,NA,27378.81296387027,1077.3117883924274,39224.0,1965-01-30
NA,NA,27380.842745804068,1076.5939483151794,39223.0,1965-01-31
NA,NA,27380.717293061833,1079.7798467394628,39228.0,1965-02-01
NA,NA,27383.840429485455,1076.71181496159,39227.0,1965-02-02
NA,NA,27383.8090976228,1077.5083781348346,39228.0,1965-02-03
NA,NA,27378.844290016474,1076.5153705509056,39227.0,1965-02-04
NA,NA,27377.813737119763,1077.2724704439458,39229.0,1965-02-05
NA,NA,27379.780840163592,1078.1475523371644,39229.0,1965-02-06
NA,NA,27349.023565317017,1071.3589611957439,39233.0,1965-02-07
NA,NA,27371.037882502274,1071.4239285294059,39230.0,1965-02-08
NA,NA,27367.852783184717,1076.0831928474,39234.0,1965-02-09
NA,NA,27368.85201107851,1076.1224817295367,39230.0,1965-02-10
NA,NA,27375.78393773811,1077.9901642779932,39233.0,1965-02-11
NA,NA,27372.942741542207,1073.8909014661904,39231.0,1965-02-12
NA,NA,27382.93505472814,1074.2829182952282,39232.0,1965-02-13
NA,NA,27378.938129453767,1074.1261115636132,39228.0,1965-02-14
NA,NA,27374.004405256106,1072.3375499436393,39231.0,1965-02-15
NA,NA,27373.03635197384,1071.5021574961502,39230.0,1965-02-16
NA,NA,27380.842745804068,1076.5939483151794,39230.0,1965-02-17
NA,NA,27379.062924366084,1070.9404201926868,39231.0,1965-02-18
NA,NA,27378.875592995806,1075.71895179848,39229.0,1965-02-19
NA,NA,27385.96399014184,1073.6038983975045,39226.0,1965-02-20
NA,NA,27376.877134923325,1075.6404321669618,39229.0,1965-02-21
NA,NA,27380.093302186273,1070.18305143299,39229.0,1965-02-22
NA,NA,27378.094828166915,1070.1049387326188,39229.0,1965-02-23
NA,NA,27371.100169099172,1069.8315442813205,39231.0,1965-02-24
NA,NA,27371.943510223613,1073.8516997832867,39232.0,1965-02-25
NA,NA,27374.16008089538,1068.3561510628424,39232.0,1965-02-26
NA,NA,27382.185069848085,1067.871621773251,39231.0,1965-02-27
NA,NA,27377.18886777717,1067.6767760224623,39229.0,1965-02-28
NA,NA,27374.97243309833,1073.1729996168144,39231.0,1965-03-01
NA,NA,27385.27588639651,1065.5987171303336,39229.0,1965-03-02
NA,NA,27372.161602334992,1068.278154629109,39230.0,1965-03-03
NA,NA,27352.676239081426,1080.267818640569,39240.0,1965-03-04
NA,NA,27373.098643118527,1069.9096569816913,39235.0,1965-03-05
NA,NA,27372.06827325402,1070.6668222751193,39235.0,1965-03-06
NA,NA,NA,NA,NA,1965-03-07
NA,NA,27379.21839674757,1066.9582855948886,39234.0,1965-03-08
NA,NA,27384.027934067424,1071.9324168132434,39233.0,1965-03-09
NA,NA,27384.090250224985,1070.339276833732,39232.0,1965-03-10
NA,NA,27380.999040439052,1072.61155479305,39233.0,1965-03-11
NA,NA,27385.08948723466,1070.3783331839174,39231.0,1965-03-12
NA,NA,27379.187348605537,1067.7547143227778,39230.0,1965-03-13
NA,NA,27376.220672105588,1066.841465344641,39230.0,1965-03-14
NA,NA,27375.159320175575,1068.395149279709,39228.0,1965-03-15
NA,NA,27377.15779873596,1068.4731457134424,39229.0,1965-03-16
NA,NA,27382.27815496328,1065.482071280834,39227.0,1965-03-17
NA,NA,27383.215362936873,1067.114045928552,39226.0,1965-03-18
NA,NA,27388.211570673506,1067.3087463456313,39225.0,1965-03-19
NA,NA,27390.303096528973,1064.9963757099345,39226.0,1965-03-20
NA,NA,27381.12365911074,1069.4256236344947,39227.0,1965-03-21
