H,X,Y,Z,date
NA,40037.81242385195,-2064.426630434302,670.0,1966-06-14
NA,40043.74438615912,-2065.900417723498,669.0,1966-06-15
NA,40044.923193828006,-2062.457369357202,669.0,1966-06-16
NA,40057.66565924861,-2067.78696481388,670.0,1966-06-17
NA,40058.78456375619,-2065.5079943124574,668.0,1966-06-18
NA,40059.60283047905,-2069.055355536572,666.0,1966-06-19
NA,40045.68161527287,-2067.168345393328,668.0,1966-06-20
NA,40048.79783046846,-2064.993059132383,667.0,1966-06-21
NA,40053.73110446377,-2066.41564340565,667.0,1966-06-22
NA,40045.80181048214,-2064.838578578361,663.0,1966-06-23
NA,40061.35913942843,-2073.8198817000257,666.0,1966-06-24
NA,40038.811097180725,-2064.4781239523095,674.0,1966-06-25
NA,40049.55595384535,-2069.7045440859856,672.0,1966-06-26
NA,40046.68028560418,-2067.2198970117074,674.0,1966-06-27
NA,40053.55062316723,-2069.910982960293,675.0,1966-06-28
NA,40051.432804191834,-2072.1378649371245,675.0,1966-06-29
NA,40049.495731636474,-2070.869537569098,671.0,1966-06-30
NA,40036.45283929811,-2071.3628476581307,676.0,1966-07-01
NA,40049.495731636474,-2070.869537569098,670.0,1966-07-02
NA,40047.317539043186,-2074.261055663883,672.0,1966-07-03
NA,40050.43413986559,-2072.086197118525,672.0,1966-07-04
NA,40046.37919708538,-2073.044428671844,673.0,1966-07-05
NA,40053.55062316723,-2069.910982960293,674.0,1966-07-06
NA,40053.30950695507,-2074.5714111745683,670.0,1966-07-07
NA,40045.3202164059,-2074.157603826988,673.0,1966-07-08
NA,39991.69334994974,-2065.5478700785784,680.0,1966-07-09
NA,40004.6159239742,-2067.382106750029,669.0,1966-07-10
NA,40025.40727780511,-2071.95879443239,NA,1966-07-11
NA,40003.376441022745,-2071.9851152521924,669.0,1966-07-12
NA,40035.212895961886,-2075.969502426973,665.0,1966-07-13
NA,40044.89704264007,-2082.3116587957074,663.0,1966-07-14
NA,40052.3711740226,-2073.3546098831166,663.0,1966-07-15
NA,40047.075916719274,-2078.920758596443,666.0,1966-07-16
NA,40048.316200361834,-2074.3127815823304,669.0,1966-07-17
NA,NA,NA,NA,1966-07-18
NA,40049.31486168048,-2074.364507500778,668.0,1966-07-19
NA,40048.891645701755,-2082.5193758618484,661.0,1966-07-20
NA,40041.38588297103,-2072.785944329117,664.0,1966-07-21
NA,40034.09339790634,-2078.24681106741,665.0,1966-07-22
NA,40040.20618750021,-2076.228422517575,668.0,1966-07-23
NA,40039.086674372855,-2078.5060216555,667.0,1966-07-24
NA,40060.1793536535,-2077.2641028799817,667.0,1966-07-25
NA,40055.06515906569,-2079.3354955373866,663.0,1966-07-26
NA,40055.06515906569,-2079.3354955373866,666.0,1966-07-27
NA,40046.1981373462,-2076.539126626297,666.0,1966-07-28
NA,40049.19411226919,-2076.694478680658,657.0,1966-07-29
NA,40059.180695345836,-2077.2123188618616,663.0,1966-07-30
NA,40058.302813548304,-2074.8300407668057,665.0,1966-07-31
NA,40064.234401122536,-2076.3058184934202,664.0,1966-08-01
NA,40054.42879717058,-2072.2928683929235,669.0,1966-08-02
