E N X Y Z date
-23.0 6122.0    1966-07-19
-50.0 6118.0    1966-07-20
-23.0 6061.0    1966-07-21
8.0 6013.0    1966-07-22
63.0 5977.0    1966-07-23
68.0 6002.0    1966-07-24
48.0 6043.0    1966-07-25
82.0 6032.0    1966-07-26
133.0 5982.0    1966-07-27
93.0 6129.0    1966-07-28
54.0 6186.0    1966-07-29
77.0 6130.0    1966-07-30
55.0 6111.0    1966-07-31
  5116.022241427095 -3468.584354635661 54589.0 1970-04-19
  5098.972198515158 -3488.289913233918 54576.0 1970-04-20
  5084.256785794752 -3428.083566090536 54642.0 1970-04-25
  5060.844539433154 -3457.2378494528875 54633.0 1970-04-26
  5093.146493991641 -3445.2953125589465 54629.0 1970-04-27
  5088.471207678945 -3428.987717770711 54636.0 1970-04-28
  5070.61281812279 -3432.2025943537856 54624.0 1970-04-29
  5096.449536817395 -3470.699946505569 54628.0 1970-04-30
  5105.824355680509 -3499.522488703239 54581.0 1970-05-01
  5115.612323862187 -3478.089497403613 54573.0 1970-05-02
  5109.652344626973 -3504.5497452665836 54560.0 1970-05-03
  5106.780443308072 -3489.271916008584 54560.0 1970-05-04
  5106.298628797318 -3454.408677840916 54567.0 1970-05-05
  5153.569921808522 -3543.0541995615176 54532.0 1970-05-06
  5101.130415959921 -3467.375445400824 54560.0 1970-05-07
  5099.552810193333 -3498.059052681827 54588.0 1970-05-08
  5106.534273004018 -3484.3122303598625 54575.0 1970-05-09
  5115.759198804277 -3472.534639114406 54578.0 1970-05-10
  5104.201975999504 -3487.7279406804028 54606.0 1970-05-11
  5062.267221609501 -3412.4002662375387 54592.0 1970-05-12
  5083.3142104378985 -3452.6716666894526 54611.0 1970-05-13
  5061.06668314385 -3458.6853035179865 54633.0 1970-05-14
  5093.664809961381 -3439.1706563881185 54612.0 1970-05-15
  5066.901187555042 -3430.5500077324787 54612.0 1970-05-16
  5135.506413284111 -3516.35462931681 54545.0 1970-05-17
  5117.709145353165 -3514.017231541214 54549.0 1970-05-18
  5138.320704475131 -3503.3728516905244 54544.0 1970-05-19
  5057.69291047131 -3424.530102564183 54618.0 1970-05-22
  5067.799129796657 -3429.2233785555945 54612.0 1970-05-23
  5080.905341596924 -3441.9718054818286 54612.0 1970-05-26
  5048.770133931014 -3428.7795401171848 54607.0 1970-05-27
  5104.111266394522 -3445.1432742724223 54523.0 1970-05-28
  5160.084108740458 -3512.27789201313 54524.0 1970-05-29
  5142.09753961166 -3476.4467338245977 54535.0 1970-05-30
  5133.026688926979 -3457.7099373376227 54506.0 1970-05-31
  5086.0703053535735 -3478.811988165013 54541.0 1970-06-01
