D H X Y Z date
     1902-01-01
     1902-01-02
     1902-01-03
     1902-01-04
     1902-01-05
     1902-01-06
     1902-01-07
     1902-01-08
     1902-01-09
     1902-01-10
     1902-01-11
     1902-01-12
     1902-01-13
     1902-01-14
     1902-01-15
     1902-01-16
     1902-01-17
     1902-01-18
     1902-01-19
     1902-01-20
     1902-01-21
     1902-01-22
     1902-01-23
     1902-01-24
     1902-01-25
     1902-01-26
     1902-01-27
     1902-01-28
     1902-01-29
     1902-01-30
     1902-01-31
     1902-02-01
     1902-02-02
     1902-02-03
     1902-02-04
     1902-02-05
     1902-02-06
     1902-02-07
     1902-02-08
     1902-02-09
     1902-02-10
     1902-02-11
     1902-02-12
     1902-02-13
     1902-02-14
     1902-02-15
     1902-02-16
     1902-02-17
     1902-02-18
     1902-02-19
     1902-02-20
     1902-02-21
     1902-02-22
     1902-02-23
     1902-02-24
     1902-02-25
     1902-02-26
     1902-02-27
     1902-02-28
     1902-03-01
  13437.511657175306 7892.676128112554 55856.0 1917-10-19
  13440.613687767347 7891.343339140746 55852.0 1917-10-20
  13440.036444292924 7888.376029074553 55858.0 1917-10-21
  13441.072764766861 7890.561382578716 55848.0 1917-10-22
  13441.072764766861 7890.561382578716 55857.0 1917-10-23
  13442.559855348396 7884.075122382822 55862.0 1917-10-24
  13417.854019339313 7882.704961857946 55867.0 1917-10-25
  13427.393903448303 7886.208021707222 55876.0 1917-10-26
  13433.603521715297 7891.431835944499 55872.0 1917-10-27
  13367.072958373446 7866.4770085166665 55806.0 1917-10-28
  13396.809611035143 7867.196975141552 55815.0 1917-10-29
  13410.377442495346 7875.689230144368 55861.0 1917-10-30
  13421.412718701878 7880.594941644156 55866.0 1917-10-31
  13421.8165290784 7881.882139423163 55851.0 1917-11-01
  13432.219567619022 7885.889517820588 55861.0 1917-11-02
  13433.659347777457 7889.36230172448 55859.0 1917-11-03
  13436.301929237972 7888.811790526881 55864.0 1917-11-04
  13441.531796273208 7889.779399309993 55865.0 1917-11-05
  13443.889473866126 7891.689097681914 55869.0 1917-11-06
  13445.670077364312 7890.630910812519 55873.0 1917-11-07
  13441.935145927182 7891.067642131044 55874.0 1917-11-08
  13444.981438720602 7891.804236830668 55870.0 1917-11-09
  13443.430331254041 7892.471218111527 55860.0 1917-11-10
  13444.578102466208 7890.515866956112 55868.0 1917-11-11
  13400.663283681613 7870.5085323241665 55820.0 1917-11-12
  13433.255987288143 7888.074389861397 55876.0 1917-11-13
  13432.79705498923 7888.855891665958 55892.0 1917-11-14
  13429.980737619273 7887.727327131388 55877.0 1917-11-15
  13435.898477804933 7887.5238252647505 55862.0 1917-11-16
  13438.485621285898 7889.042603921733 55848.0 1917-11-17
  13431.072469412777 7887.843071548912 55845.0 1917-11-18
  13413.31369312062 7880.562465328402 55850.0 1917-11-19
  13431.92537056462 7880.463808658883 55870.0 1917-11-20
  13433.833068478836 7891.041064919413 55870.0 1917-11-21
  13439.062679453058 7892.009838927722 55868.0 1917-11-22
  13443.430331254041 7892.471218111527 55864.0 1917-11-23
  13442.623720302478 7889.8945819548935 55859.0 1917-11-24
  13436.750974280663 7880.142908295997 55857.0 1917-11-25
  13413.891631311717 7883.526641258053 55832.0 1917-11-26
  13427.949488004067 7873.406413212218 55843.0 1917-11-27
  13427.678412179223 7883.748693299151 55853.0 1917-11-28
  13429.062867961045 7889.289922949332 55856.0 1917-11-29
  13434.292127904224 7890.259502838332 55860.0 1917-11-30
  13437.797121275467 7890.2153029838655 55872.0 1917-12-01
  13430.439604265728 7886.945989175442 55857.0 1917-12-02
  13424.640279551078 7890.894585828322 55836.0 1917-12-03
  13436.357332602116 7886.7421430289805 55854.0 1917-12-04
  13435.779302173109 7883.77565277556 55864.0 1917-12-05
  13440.439890320327 7889.664159816065 55864.0 1917-12-06
  13442.220258229645 7888.606374337647 55864.0 1917-12-07
  13433.071395491566 7878.510130959169 55862.0 1917-12-08
  13435.557565663494 7892.054035531084 55860.0 1917-12-09
  13439.118499086726 7889.939794922704 55853.0 1917-12-10
  13449.808609409056 7891.481760117428 55852.0 1917-12-11
  13436.536729649628 7896.3096261973205 55859.0 1917-12-12
  13440.613687767347 7891.343339140746 55872.0 1917-12-13
  13442.853222345293 7889.50354854352 55854.0 1917-12-14
