D,H,X,Y,Z,date
NA,NA,23775.452616605893,2065.448589417821,-12069.0,1944-10-02
NA,NA,23771.071060916238,2058.1012163813925,-12071.0,1944-10-03
NA,NA,23779.61779167356,2063.7196228951143,-12069.0,1944-10-04
NA,NA,23790.456442057515,2066.0547617534367,-12063.0,1944-10-05
NA,NA,23789.460191787748,2065.968243547333,-12062.0,1944-10-06
NA,NA,23782.786583166926,2061.9035718324167,-12066.0,1944-10-07
NA,NA,23782.786583166926,2061.9035718324167,-12066.0,1944-10-08
NA,NA,23787.827878222895,2061.6434793731028,-12065.0,1944-10-09
NA,NA,23778.681554967192,2062.941469713339,-12066.0,1944-10-10
NA,NA,23765.96994588234,2059.052581022984,-12066.0,1944-10-11
NA,NA,23764.733945541622,2061.731431981816,-12064.0,1944-10-12
NA,NA,23775.512688010996,2064.756988661883,-12065.0,1944-10-13
NA,NA,23753.475129920513,2064.2355127861956,-12065.0,1944-10-14
NA,NA,23754.59143234587,2062.9401063337077,-12070.0,1944-10-15
NA,NA,23768.3587144314,2066.225549670939,-12065.0,1944-10-16
NA,NA,23776.868959319327,2060.693691783661,-12064.0,1944-10-17
NA,NA,23775.63277046753,2063.3737819092507,-12067.0,1944-10-18
NA,NA,23772.82395473899,2061.0398387678083,-12065.0,1944-10-19
NA,NA,23776.809006110165,2061.3853319936516,-12062.0,1944-10-20
NA,NA,23780.734074101525,2062.422579605524,-12060.0,1944-10-21
NA,NA,23792.869178267116,2061.3830953674665,-12062.0,1944-10-22
NA,NA,23785.715375750897,2062.8545910382018,-12064.0,1944-10-23
NA,NA,23776.928892409473,2060.0020498299955,-12066.0,1944-10-24
NA,NA,23782.906499606088,2060.519941906547,-12067.0,1944-10-25
NA,NA,23780.854020738807,2061.0390690889126,-12065.0,1944-10-26
NA,NA,23787.647875312203,2063.719351112175,-12063.0,1944-10-27
NA,NA,23783.90276747219,2060.606257252639,-12069.0,1944-10-28
NA,NA,23787.01142709288,2059.481334548287,-12073.0,1944-10-29
NA,NA,23783.325573230322,2055.6771822755886,-12072.0,1944-10-30
NA,NA,23776.868959319327,2060.693691783661,-12073.0,1944-10-31
NA,NA,23782.030062662678,2059.0500476211328,-12070.0,1944-11-01
NA,NA,23791.872910401013,2061.2967800213746,-12073.0,1944-11-02
NA,NA,23791.056426491665,2059.1343111826695,-12074.0,1944-11-03
NA,NA,23782.209658121166,2056.974666146477,-12071.0,1944-11-04
NA,NA,23759.57268369471,2063.3726973642256,-12072.0,1944-11-05
NA,NA,23769.018642368592,2058.620115206856,-12075.0,1944-11-06
NA,NA,23775.116020175756,2057.7546567028153,-12076.0,1944-11-07
NA,NA,23778.22453648267,2056.629984370909,-12073.0,1944-11-08
NA,NA,23777.168423578783,2057.2354645902815,-12069.0,1944-11-09
NA,NA,23787.191060169283,2057.405518365937,-12067.0,1944-11-10
NA,NA,23779.45996571485,2053.9493029198075,-12067.0,1944-11-11
NA,NA,23787.191060169283,2057.405518365937,-12065.0,1944-11-12
NA,NA,23792.98906440912,2059.9988788608725,-12066.0,1944-11-13
NA,NA,23784.95896839248,2060.000697059623,-12068.0,1944-11-14
NA,NA,23787.131202604836,2058.097458835061,-12066.0,1944-11-15
NA,NA,23782.66658623164,2063.2871947794883,-12064.0,1944-11-16
NA,NA,23788.247180521765,2056.7997176191525,-12061.0,1944-11-17
NA,NA,23785.497460209986,2053.77373883889,-12061.0,1944-11-18
NA,NA,23784.680294775048,2051.612116200224,-12061.0,1944-11-19
NA,NA,23765.21308874752,2056.2010714965463,-12064.0,1944-11-20
NA,NA,23769.018642368592,2058.620115206856,-12064.0,1944-11-21
NA,NA,23773.54194502516,2052.741432360459,-12062.0,1944-11-22
NA,NA,23775.992535004043,2059.2241197674416,-12064.0,1944-11-23
NA,NA,23778.28435136378,2055.9383029868204,-12066.0,1944-11-24
NA,NA,23776.769540210753,2050.232970105138,-12063.0,1944-11-25
NA,NA,23774.53823795723,2052.827457900328,-12064.0,1944-11-26
NA,NA,23776.17214567618,2057.1492651658036,-12062.0,1944-11-27
NA,NA,23780.794057481336,2061.730825219495,-12065.0,1944-11-28
NA,NA,23785.377936244626,2055.1575195121536,-12066.0,1944-11-29
NA,NA,23776.471094427052,2053.6911393573487,-12068.0,1944-11-30
NA,NA,23782.089947938966,2058.3582555377516,-12067.0,1944-12-01
NA,NA,23765.093423599996,2057.583672068807,-12068.0,1944-12-02
NA,NA,23771.250573615307,2056.0267912636646,-12067.0,1944-12-03
NA,NA,23771.42990528595,2053.952350488397,-12063.0,1944-12-04
NA,NA,23765.39243564997,2054.1271575905616,-12059.0,1944-12-05
NA,NA,23769.43732943471,2053.780183485003,-12060.0,1944-12-06
NA,NA,23772.18703406576,2056.804467467892,-12060.0,1944-12-07
NA,NA,23782.269483026976,2056.2828688397535,-12057.0,1944-12-08
NA,NA,23771.31037095319,2055.3353127441883,-12063.0,1944-12-09
NA,NA,23775.992535004043,2059.2241197674416,-12062.0,1944-12-10
NA,NA,23778.28435136378,2055.9383029868204,-12062.0,1944-12-11
NA,NA,23785.377936244626,2055.1575195121536,-12062.0,1944-12-12
NA,NA,23770.791722601647,2049.717512413094,-12065.0,1944-12-13
NA,NA,23746.98099867324,2058.103361994274,-12065.0,1944-12-14
NA,NA,23769.138367807293,2057.23728627287,-12061.0,1944-12-15
NA,NA,23709.600452066657,2049.3048585704782,-12069.0,1944-12-16
NA,NA,23688.995371662495,2066.96378327071,-12073.0,1944-12-17
NA,NA,23715.91731255212,2057.4962999214863,-12068.0,1944-12-18
NA,NA,23719.602791942183,2061.29192316095,-12068.0,1944-12-19
NA,NA,23736.141719944324,2055.7726651355247,-12070.0,1944-12-20
