H,X,Y,Z,date
11579.0,NA,NA,150.0,1958-12-06
11579.0,NA,NA,NA,1958-12-07
11584.0,NA,NA,NA,1958-12-08
11567.0,NA,NA,109.0,1958-12-09
11577.0,NA,NA,97.0,1958-12-10
11581.0,NA,NA,83.0,1958-12-11
11560.0,NA,NA,NA,1958-12-12
11485.0,NA,NA,NA,1958-12-13
11542.0,NA,NA,123.0,1958-12-14
11558.0,NA,NA,NA,1958-12-15
11554.0,NA,NA,102.0,1958-12-16
11483.0,NA,NA,122.0,1958-12-17
11468.0,NA,NA,126.0,1958-12-18
11492.0,NA,NA,97.0,1958-12-19
11533.0,NA,NA,115.0,1958-12-20
11543.0,NA,NA,123.0,1958-12-21
11534.0,NA,NA,NA,1958-12-22
11554.0,NA,NA,NA,1958-12-23
11544.0,NA,NA,115.0,1958-12-24
11554.0,NA,NA,NA,1958-12-25
11549.0,NA,NA,NA,1958-12-26
11561.0,NA,NA,123.0,1958-12-27
11540.0,NA,NA,105.0,1958-12-28
11550.0,NA,NA,107.0,1958-12-29
11560.0,NA,NA,107.0,1958-12-30
11573.0,NA,NA,113.0,1958-12-31
NA,11356.102128419656,2271.234344778749,NA,1959-01-01
NA,11357.808933024702,2267.796340261684,NA,1959-01-02
NA,11358.525606413112,2269.3137836045566,51203.0,1959-01-03
NA,11373.442378556087,2266.101820674541,51211.0,1959-01-04
NA,11308.408270436183,2280.1750786135995,51232.0,1959-01-05
NA,11321.134867639355,2287.882275974974,51200.0,1959-01-06
NA,11276.163941116363,2283.2327461446102,51210.0,1959-01-07
NA,11296.126559761267,2295.4855141899934,51222.0,1959-01-08
NA,11319.482073540155,2270.759913950182,51195.0,1959-01-09
NA,11297.094866744374,2280.6298629496837,51225.0,1959-01-10
NA,11320.535513497818,2290.846063714168,51246.0,1959-01-11
NA,11334.692355593757,2281.357754505952,51222.0,1959-01-12
NA,11333.911041129768,2280.171377716324,51234.0,1959-01-13
NA,11336.34840844974,2273.1143310971074,51224.0,1959-01-14
NA,11330.903654073885,2279.9092925147465,51218.0,1959-01-15
NA,11358.072726225977,2266.4747838353687,51207.0,1959-01-16
NA,11389.692921710704,2281.7430068114745,51211.0,1959-01-17
NA,11314.805359123751,2283.8626677505,51189.0,1959-01-18
NA,11351.158715502715,2285.7026962111145,51215.0,1959-01-19
NA,11350.26047106711,2280.025490851239,51211.0,1959-01-20
NA,11350.008968165204,2276.1969208681026,51219.0,1959-01-21
NA,11348.511180774767,2273.4929029645323,51210.0,1959-01-22
NA,11331.698802215626,2275.9539221752557,51202.0,1959-01-23
NA,11335.81912377434,2275.7523575890195,51213.0,1959-01-24
NA,11343.560225260695,2262.5495388794316,51204.0,1959-01-25
NA,11346.351736888193,2274.09020551391,51215.0,1959-01-26
NA,NA,NA,51213.0,1959-01-27
NA,NA,NA,51218.0,1959-01-28
NA,11350.273738871216,2274.8762719520414,51243.0,1959-01-29
NA,11330.387266548058,2277.4049683895996,51215.0,1959-01-30
NA,11321.166395897115,2277.6073929476784,51220.0,1959-01-31
NA,11338.414517963934,2283.136487121319,51213.0,1959-02-01
NA,11365.059570932292,2272.3382118778677,51197.0,1959-02-02
NA,11329.45886866453,2282.019005889007,51228.0,1959-02-03
NA,11276.92690921786,2289.5345562271177,51237.0,1959-02-04
NA,NA,NA,NA,1959-02-05
NA,NA,NA,51209.0,1959-02-06
NA,11321.534005992722,2285.9063303535395,51224.0,1959-02-07
NA,11296.480020597353,2288.7147363192307,51220.0,1959-02-08
NA,11285.28016393571,2293.6232518613892,51212.0,1959-02-09
NA,11327.947246539188,2284.457743015884,51223.0,1959-02-10
NA,11369.123941205578,2267.3045250927667,51218.0,1959-02-11
NA,11267.998946883643,2298.303664233499,51218.0,1959-02-12
NA,11314.921052810374,2288.3394784578136,51205.0,1959-02-13
NA,11317.628814740337,2279.978730549744,51203.0,1959-02-14
NA,11323.3779168004,2281.8224193212395,51211.0,1959-02-15
NA,11210.836331761586,2288.342793913195,51189.0,1959-02-16
