H,X,Y,Z,date
NA,23140.91214608698,6160.924772068239,43854.0,1997-01-11
NA,23135.722060343945,6160.984397522406,43855.0,1997-01-12
NA,23132.823089239566,6160.212408833383,43858.0,1997-01-13
NA,23137.47546721549,6162.172101134587,43855.0,1997-01-14
NA,23143.45264995562,6163.043034026465,43854.0,1997-01-15
NA,23141.699253445953,6161.85521276337,43853.0,1997-01-16
NA,23147.49724056474,6163.399021485459,43854.0,1997-01-17
NA,23149.429902937667,6163.913624392822,43855.0,1997-01-18
NA,23145.923081103672,6161.537853785548,43853.0,1997-01-19
NA,23145.315144556662,6159.934079124223,43852.0,1997-01-20
NA,23138.37147408939,6158.806826573343,43854.0,1997-01-21
NA,23138.80025988656,6161.083308402326,43853.0,1997-01-22
NA,23144.956734949654,6161.280608551171,43851.0,1997-01-23
NA,23148.463571751203,6163.65632293914,43848.0,1997-01-24
NA,23145.743839440238,6162.211138788927,43850.0,1997-01-25
NA,23143.811162098933,6161.696592100652,43850.0,1997-01-26
NA,23133.18143672177,6158.866585315136,43854.0,1997-01-27
NA,23129.85336666376,6155.81905489701,43853.0,1997-01-28
NA,23131.42788879336,6157.6791752699,43854.0,1997-01-29
NA,23136.259619563465,6158.965401441783,43854.0,1997-01-30
NA,23136.867597513632,6160.568705494963,43853.0,1997-01-31
NA,23145.743839440238,6162.211138788927,43852.0,1997-02-01
NA,23139.696108387965,6157.717841169316,43851.0,1997-02-02
NA,23138.19231187151,6159.479891910535,43852.0,1997-02-03
NA,23145.315144556662,6159.934079124223,43850.0,1997-02-04
NA,23150.146950148195,6161.220024195228,43849.0,1997-02-05
NA,23141.699253445953,6161.85521276337,43848.0,1997-02-06
NA,23146.460688582523,6159.517967495822,43848.0,1997-02-07
NA,23147.3563093333,6156.15138611518,43843.0,1997-02-08
NA,23125.737516975554,6151.8423497314425,43848.0,1997-02-09
NA,23119.615606560143,6143.733246561144,43848.0,1997-02-10
NA,23124.48438868591,6156.551125217896,43851.0,1997-02-11
NA,23133.18143672177,6158.866585315136,43852.0,1997-02-12
NA,23140.662476987185,6157.975002073103,43848.0,1997-02-13
NA,23144.707099745836,6158.330396054975,43848.0,1997-02-14
NA,23142.95346140628,6157.14293184616,43848.0,1997-02-15
NA,23137.942467190587,6156.530466502892,43847.0,1997-02-16
NA,23126.59615802326,6156.392949098018,43852.0,1997-02-17
NA,23135.830633991074,6156.689197554169,43850.0,1997-02-18
NA,23143.561582784856,6158.746484784462,43846.0,1997-02-19
NA,23146.460688582523,6159.517967495822,43844.0,1997-02-20
NA,23140.73292225949,6161.597911309689,43846.0,1997-02-21
NA,23140.59146739253,6154.352243676018,43846.0,1997-02-22
NA,23138.90884326991,6156.787599296046,43848.0,1997-02-23
NA,23138.80025988656,6161.083308402326,43844.0,1997-02-24
NA,23136.617894491905,6157.619377996416,43844.0,1997-02-25
NA,23142.774347587194,6157.8161304686655,43843.0,1997-02-26
NA,23124.8779920043,6147.292237637246,43845.0,1997-02-27
NA,23107.448157719075,6150.575878592623,43855.0,1997-02-28
