H,X,Y,Z,date
NA,25022.474827237038,-613.7210443586767,37178.0,2002-08-12
NA,25021.313605038056,-620.2471107046392,37180.0,2002-08-13
NA,25019.493568872007,-612.9196987960795,37179.0,2002-08-14
NA,25015.494768605276,-612.821737442534,37181.0,2002-08-15
NA,25013.423899801004,-615.6832049552473,37184.0,2002-08-16
NA,25018.3685513576,-617.9895051221238,37180.0,2002-08-17
NA,25027.508993627325,-612.3876010365099,37182.0,2002-08-18
NA,25011.513781168847,-611.9962209040319,37183.0,2002-08-19
NA,25000.676365640204,-605.182006109891,37187.0,2002-08-20
NA,24981.769618871298,-601.0887701820844,37192.0,2002-08-21
NA,25015.58363532495,-609.1833747424868,37181.0,2002-08-22
NA,25024.330717571742,-619.5935261082533,37180.0,2002-08-23
NA,25019.386213135927,-617.2864148381926,37181.0,2002-08-24
NA,25027.293705269913,-621.1238122605356,37178.0,2002-08-25
NA,25015.40537270814,-616.4600871789578,37182.0,2002-08-26
NA,25013.370076061634,-617.8660356293718,37183.0,2002-08-27
NA,25020.457566948615,-614.3998213897346,37179.0,2002-08-28
NA,25019.332249467403,-619.4697658162055,37179.0,2002-08-29
NA,25022.36733159437,-618.0882807163254,37182.0,2002-08-30
NA,25020.40385517881,-616.583265871996,37186.0,2002-08-31
NA,25026.43787175077,-615.2751022093455,37180.0,2002-09-01
NA,25025.384387798447,-617.4344037497293,37182.0,2002-09-02
NA,25038.254125471896,-622.8533922919503,37179.0,2002-09-03
NA,24983.539931121548,-610.5845642129549,37191.0,2002-09-04
NA,24998.464196864195,-613.8597544219156,37185.0,2002-09-05
NA,25006.354232101385,-618.4205839598413,37184.0,2002-09-06
NA,24979.48775502085,-612.666709364373,37196.0,2002-09-07
NA,24966.843687874352,-597.8229380415089,37202.0,2002-09-08
NA,24991.608441347576,-607.8721200751203,37194.0,2002-09-09
NA,24983.663741484317,-605.4973595664521,37196.0,2002-09-10
NA,24987.644940665105,-606.3211354171669,37193.0,2002-09-11
NA,24994.642880836527,-606.4909392958594,37193.0,2002-09-12
NA,25005.497767938446,-612.5768340586701,37187.0,2002-09-13
NA,25012.352398144103,-618.568921830784,37187.0,2002-09-14
NA,25011.442402865403,-614.906438530623,37189.0,2002-09-15
NA,25021.36763653518,-618.063586817775,37186.0,2002-09-16
NA,25014.423597011337,-615.7078116138524,37187.0,2002-09-17
NA,25016.583338943034,-609.2077196801339,37185.0,2002-09-18
NA,25017.476330467714,-613.5984472663159,37185.0,2002-09-19
NA,25025.473925298633,-613.7946026140934,37184.0,2002-09-20
NA,25028.293397449073,-621.1486224787205,37182.0,2002-09-21
NA,25022.403248167077,-616.6325373492112,37186.0,2002-09-22
NA,25024.402641155346,-616.6818088264265,37183.0,2002-09-23
NA,25029.419055166367,-616.0769114929271,37179.0,2002-09-24
NA,25031.364587127104,-618.3105258032789,37177.0,2002-09-25
NA,25022.403248167077,-616.6325373492112,37178.0,2002-09-26
NA,25022.42117469402,-615.9046648826923,37180.0,2002-09-27
NA,25034.273467121322,-622.025701547304,37178.0,2002-09-28
NA,25035.27315857836,-622.0505408453452,37176.0,2002-09-29
NA,25015.243126572135,-623.009083790516,37178.0,2002-09-30
NA,24947.79690713684,-599.5452278632932,37198.0,2002-10-01
NA,24957.967435311333,-592.5255251371592,37198.0,2002-10-02
